##	NA
1	P48742
16-5-5	Q9NS63
2	Q8WVV5
44M2.1	O60362
44M2.3	Q96IC2
5HT1A	Q5ZGX3
5HTT	Q9NYN7
7	A0A286YF01
A2BP1	Q9NWB1
A2M	P01023
A2ML1	A8K2U0
A-3	Q13513
A-328A3.5	Q7LE35
A4GALT	Q9NPC4
A-589H1.1	O15103
A7322	NA
A-735G6.3	O14563
AAAS	Q9NRG9
AAD10	Q99414
AAD14	Q99415
AADAC	P22760
AADACL3	Q5VUY0
AADACL4	Q5VUY2
AADAT	Q8N5Z0
AAG1	Q2TU89
AAG11	Q2TSB7
AAG12	NA
AAGAB	Q6PD74
AAK1	Q2M2I8
AARS	P49588
AARS2	Q5JTZ9
AASS	Q9UDR5
AAT	P01009
AAT1	Q7Z4T9
AATF	Q9NY61
AATK	Q6ZMQ8
ABC-1	Q9H002
ABCA10	Q8WWZ4
ABCA12	Q86UK0
ABCA13	Q86UQ4
ABCA2	Q9BZC7
ABCA3	Q99758
ABCA4	P78363
ABCA5	Q8WWZ7
ABCA6	Q8N139
ABCA7	Q8IZY2
ABCA8	O94911
ABCA9	Q8IUA7
ABCB1	P08183
ABCB11	O95342
ABCB4	P21439
ABCB6	Q9NP58
ABCB7	O75027
ABCB8	Q9NUT2
ABCB9	Q9NP78
ABCC1	P33527
ABCC11	Q96J66
ABCC12	Q96J65
ABCC2	Q92887
ABCC3	O15438
ABCC4	O15439
ABCC5	O15440
ABCC6	O95255
ABCC8	Q09428
ABCC9	O60706
ABCD3	P28288
ABCE1	P61221
ABCF1	Q8NE71
ABCF3	Q9NUQ8
ABCG1	P45844
ABCG2	Q9UNQ0
ABCG4	Q9H172
ABCG5	Q9H222
ABCG8	Q9H221
ABH8	Q96BT7
ABHD1	Q96SE0
ABHD10	Q9NUJ1
ABHD2	P08910
ABHD3	Q8WU67
ABHD5	Q8WTS1
ABHD9	Q9H6B9
ABI1	Q8IZP0
ABI-2	Q53SH3
ABI3	Q9P2A4
ABI3BP	Q7Z7G0
ABL1	P00519
ABLIM1	O14639
ABLIM2	Q6H8Q1
ABLIM3	O94929
ABR	Q12979
ABRA	Q8N0Z2
ABTB1	Q969K4
ACAA1	P09110
ACAA2	P42765
ACACA	Q13085
ACACB	O00763
ACAD10	Q6JQN1
ACAD11	Q709F0
ACAD9	Q9H845
ACADL	P28330
ACADM	P11310
ACADSB	P45954
ACADVL	P49748
ACAM	Q9H6B4
ACAP1	Q15027
ACAP2	Q15057
ACAP3	Q96P50
ACAT1	P35610
ACAT2	O75908
ACBD3	Q9H3P7
ACBD4	Q8NC06
ACBD5	Q5T8D3
ACBD6	Q9BR61
ACBD7	Q8N6N7
ACCN3	Q9UHC3
ACCSL	Q4AC99
ACD	Q96AP0
ACE	P12821
ACE2	Q9BYF1
ACHE	P22303
ACIN1	Q9UKV3
ACLY	P53396
ACOT11	Q8WXI4
ACOT12	Q8WYK0
ACOT13	Q9NPJ3
ACOT8	O14734
ACOX1	Q15067
ACOX2	Q99424
ACOX3	O15254
ACOXL	Q9NUZ1
ACP1	P24666
ACP2	P11117
ACP6	Q9NPH0
ACPP	P15309
ACRBP	Q8NEB7
ACSBG1	Q96GR2
ACSBG2	Q5FVE4
ACSF2	Q96CM8
ACSF3	Q4G176
ACSL1	P33121
ACSL3	O95573
ACSL4	O60488
ACSL5	Q9ULC5
ACSL6	Q9UKU0
ACSM2A	Q08AH3
ACT	Q5TD97
ACTA1	P68133
ACTBL2	Q562R1
ACTL6A	O96019
ACTL6B	O94805
ACTL7A	Q9Y615
ACTL7B	Q9Y614
ACTL8	Q9H568
ACTN1	P12814
ACTN4	O43707
ACTR10	Q9NZ32
ACTR1A	P61163
ACTR3	P61158
ACTR5	Q9H9F9
ACTR8	Q9H981
ACVR1	Q04771
